source_lemma,target_translation,source,source_id,uri
fyzická antropologie,physical anthropology,teater,395,https://teater.aiscr.cz/id/395
fyzická geografie,physical geography,teater,883,https://teater.aiscr.cz/id/883
féničané,Phoenicians,teater,3915,https://teater.aiscr.cz/id/3915
fókis,Phocis,teater,4015,https://teater.aiscr.cz/id/4015
fórum,forum,teater,1470,https://teater.aiscr.cz/id/1470
gabon,Gabon,amcr,HES-001400,https://api.aiscr.cz/id/HES-001400
gaelština,Gaelic,teater,2667,https://teater.aiscr.cz/id/2667
galacie,Galatia,teater,4017,https://teater.aiscr.cz/id/4017
galatové,Galatians,teater,3935,https://teater.aiscr.cz/id/3935
galerijní pedagogika,gallery education,teater,482,https://teater.aiscr.cz/id/482
galicie,Galicia,teater,2966,https://teater.aiscr.cz/id/2966
galie,Gaul,teater,2967,https://teater.aiscr.cz/id/2967
galileo (navigační systém),Galileo (navigation system),teater,129,https://teater.aiscr.cz/id/129
galo-románi,Gallo-Romans,teater,2678,https://teater.aiscr.cz/id/2678
galorománská kultura,Gallo-Roman culture,teater,2648,https://teater.aiscr.cz/id/2648
galové,Gauls,teater,2679,https://teater.aiscr.cz/id/2679
galské císařství,Gallic Empire,teater,4018,https://teater.aiscr.cz/id/4018
galské války (58-51 př. kr.),Gallic War,teater,3092,https://teater.aiscr.cz/id/3092
gambie,Gambia (the),amcr,HES-001256,https://api.aiscr.cz/id/HES-001256
gandhára (pákistán a afghánistán),Gandhara,teater,4019,https://teater.aiscr.cz/id/4019
garum,garum,teater,2409,https://teater.aiscr.cz/id/2409
gaskoňsko,Gascony,teater,2968,https://teater.aiscr.cz/id/2968
gatekeeper,gatekeeper,teater,4303,https://teater.aiscr.cz/id/4303
gem,gemstone,teater,2381,https://teater.aiscr.cz/id/2381
gemma,gem,amcr,HES-000731,https://api.aiscr.cz/id/HES-000731
genealogie,genealogy,teater,640,https://teater.aiscr.cz/id/640
genesis,Book of Genesis,teater,3806,https://teater.aiscr.cz/id/3806
genetika,genetics,teater,573,https://teater.aiscr.cz/id/573
genetika rostlin,plant genetics,teater,577,https://teater.aiscr.cz/id/577
genetika člověka,human genetics,teater,576,https://teater.aiscr.cz/id/576
genetika živočichů,animal genetics,teater,578,https://teater.aiscr.cz/id/578
genius loci,genius loci,teater,4124,https://teater.aiscr.cz/id/4124
geoarcheologická analýza,geoarchaeological analysis,teater,153,https://teater.aiscr.cz/id/153
geoarcheologie,geoarchaeology,amcr,HES-000613,https://api.aiscr.cz/id/HES-000613
geochemická metoda,geochemical prospecting method,teater,138,https://teater.aiscr.cz/id/138
geochemický průzkum,geochemical survey,amcr,HES-001047,https://api.aiscr.cz/id/HES-001047
geochemie,geochemistry,amcr,HES-000615,https://api.aiscr.cz/id/HES-000615
geochronologie,geochronology,amcr,HES-001442,https://api.aiscr.cz/id/HES-001442
geodetické měření,geodetic measurement,teater,934,https://teater.aiscr.cz/id/934
geodetický průzkum,geodetic survey,amcr,HES-001141,https://api.aiscr.cz/id/HES-001141
geodetický přístroj,geodetical instrument,teater,935,https://teater.aiscr.cz/id/935
geodezie,geodesy,teater,933,https://teater.aiscr.cz/id/933
geoelektrický průzkum,electric prospecting,teater,133,https://teater.aiscr.cz/id/133
geofyzika,geophysics,amcr,HES-000614,https://api.aiscr.cz/id/HES-000614
geofyzikální informace,geophysical information,teater,937,https://teater.aiscr.cz/id/937
geofyzikální průzkum,geophysical survey,amcr,HES-001046,https://api.aiscr.cz/id/HES-001046
geografická data,geographical data,teater,864,https://teater.aiscr.cz/id/864
geografická databáze,geographical database,teater,865,https://teater.aiscr.cz/id/865
geografická kartografie,geographical cartography,teater,887,https://teater.aiscr.cz/id/887
geografické informace,geographical information,teater,866,https://teater.aiscr.cz/id/866
geografické informační systémy,geographic information systems,teater,197,https://teater.aiscr.cz/id/197
geografické jméno,geographical name,teater,616,https://teater.aiscr.cz/id/616
geografické myšlení,geographic thinking,teater,4161,https://teater.aiscr.cz/id/4161
geografické členění slovanů,geographical division of the Slavs,teater,2809,https://teater.aiscr.cz/id/2809
geografický prostor,geographical space,teater,868,https://teater.aiscr.cz/id/868
geografický realismus,realistic geography,teater,4164,https://teater.aiscr.cz/id/4164
geografie,geography,teater,851,https://teater.aiscr.cz/id/851
geografie krajiny,landscape geography,teater,852,https://teater.aiscr.cz/id/852
geografie náboženství,geography of religion,teater,898,https://teater.aiscr.cz/id/898
geografie obchodu,trade geography,teater,899,https://teater.aiscr.cz/id/899
geografie obyvatelstva,population geography,teater,900,https://teater.aiscr.cz/id/900
geologická doba,geological era,teater,1051,https://teater.aiscr.cz/id/1051
geologická kartografie,geological cartography,teater,915,https://teater.aiscr.cz/id/915
geologická katastrofa,geological disaster,teater,925,https://teater.aiscr.cz/id/925
geologická mapa,geological map,teater,917,https://teater.aiscr.cz/id/917
geologická sbírka,geological collection,teater,226,https://teater.aiscr.cz/id/226
geologická sonda,geological trench,amcr,HES-001145,https://api.aiscr.cz/id/HES-001145
geologická vrstva,geological layer,teater,1750,https://teater.aiscr.cz/id/1750
geologická/přirozená vrstva,natural/geological layer,amcr,HES-000455,https://api.aiscr.cz/id/HES-000455
geologické informace,geological information,teater,924,https://teater.aiscr.cz/id/924
geologické mapování,geological mapping,teater,916,https://teater.aiscr.cz/id/916
geologické těleso,geologic body,teater,923,https://teater.aiscr.cz/id/923
geologický průzkum,geological survey,teater,918,https://teater.aiscr.cz/id/918
geologický vrt,geological core sample,amcr,HES-001144,https://api.aiscr.cz/id/HES-001144
geologický vývoj země,geological history of the Earth,teater,948,https://teater.aiscr.cz/id/948
geologický výzkum,geological research,teater,919,https://teater.aiscr.cz/id/919
geologie,geology,teater,913,https://teater.aiscr.cz/id/913
geomagnetismus,geomagnetism,teater,938,https://teater.aiscr.cz/id/938
geomancie,geomancy,teater,3852,https://teater.aiscr.cz/id/3852
geomikrobiologie,geomicrobiology,teater,950,https://teater.aiscr.cz/id/950
geomorfologický útvar,geomorphological feature,teater,954,https://teater.aiscr.cz/id/954
geomorfologie,geomorphology,amcr,HES-001443,https://api.aiscr.cz/id/HES-001443
georadar,ground-penetrating radar,teater,940,https://teater.aiscr.cz/id/940
geosféra,geosphere,teater,926,https://teater.aiscr.cz/id/926
gepidové,Gepids,teater,2603,https://teater.aiscr.cz/id/2603
geranos,mechane,teater,2095,https://teater.aiscr.cz/id/2095
germáni,Germanic people,teater,2595,https://teater.aiscr.cz/id/2595
germánie,Germania,teater,2969,https://teater.aiscr.cz/id/2969
germánská archeologie,Germanic archeology,teater,45,https://teater.aiscr.cz/id/45
germánská kultura,Germanic culture,teater,2623,https://teater.aiscr.cz/id/2623
germánská magie,Germanic magic,teater,2625,https://teater.aiscr.cz/id/2625
germánská mytologie,Germanic mythology,teater,2626,https://teater.aiscr.cz/id/2626
germánské jazyky,Germanic languages,teater,2616,https://teater.aiscr.cz/id/2616
germánské kmeny,Germanic tribes,teater,2596,https://teater.aiscr.cz/id/2596
germánské náboženství,Germanic religion,teater,2627,https://teater.aiscr.cz/id/2627
gerontokracie,gerontocracy,teater,3675,https://teater.aiscr.cz/id/3675
ghana,Ghana,amcr,HES-001242,https://api.aiscr.cz/id/HES-001242
gibraltar,Gibraltar,amcr,HES-001264,https://api.aiscr.cz/id/HES-001264
gibraltarský průliv (oblast),Strait of Gibraltar,teater,4020,https://teater.aiscr.cz/id/4020
gilbertini,Gilbertines,teater,3146,https://teater.aiscr.cz/id/3146
glaciologie,glaciology,teater,963,https://teater.aiscr.cz/id/963
glaciální relikt,glacial relict,teater,4130,https://teater.aiscr.cz/id/4130
glaciální sedimentace,glacial deposition,teater,1003,https://teater.aiscr.cz/id/1003
gladiátor,gladiator,teater,2769,https://teater.aiscr.cz/id/2769
gladiátorské hry,gladiatorial games,teater,2768,https://teater.aiscr.cz/id/2768
glazovaná keramika,glazed ceramic ware,teater,3277,https://teater.aiscr.cz/id/3277
globalizace,globalisation,teater,4140,https://teater.aiscr.cz/id/4140
globální oteplování,global warming,teater,4126,https://teater.aiscr.cz/id/4126
glosář,glossary,teater,2195,https://teater.aiscr.cz/id/2195
glottochronologie,glottochronology,teater,621,https://teater.aiscr.cz/id/621
gnosticismus,gnosticism,teater,3842,https://teater.aiscr.cz/id/3842
gnóze,gnosis,teater,3843,https://teater.aiscr.cz/id/3843
gombík,spherical button,amcr,HES-000693,https://api.aiscr.cz/id/HES-000693
gorice a gradiška,Gorizia and Gradisca,teater,2970,https://teater.aiscr.cz/id/2970
gotická architektura,gothic architecture,teater,435,https://teater.aiscr.cz/id/435
gotická desková malba,gothic panel painting,teater,1852,https://teater.aiscr.cz/id/1852
gotická nástěnná malba,gothic mural painting,teater,1867,https://teater.aiscr.cz/id/1867
gotické malířství,gothic painting,teater,443,https://teater.aiscr.cz/id/443
gotické sochařství,gothic sculpture,teater,450,https://teater.aiscr.cz/id/450
gotické umění,gothic art,teater,505,https://teater.aiscr.cz/id/505
gotický oltář,gothic altar,teater,1725,https://teater.aiscr.cz/id/1725
gotický portál,gothic doorway,teater,1598,https://teater.aiscr.cz/id/1598
gps (navigační systém),global positioning system,teater,130,https://teater.aiscr.cz/id/130
graduál,gradual,teater,2225,https://teater.aiscr.cz/id/2225
graffito,graffiti,teater,1825,https://teater.aiscr.cz/id/1825
grafická technika,printmaking techniques,teater,462,https://teater.aiscr.cz/id/462
grafik,printmaker,teater,493,https://teater.aiscr.cz/id/493
grafit,graphite,amcr,HES-000924,https://api.aiscr.cz/id/HES-000924
grafička,printmaker (female),teater,498,https://teater.aiscr.cz/id/498
granada,Granada,teater,2971,https://teater.aiscr.cz/id/2971
granulace,granulation,teater,3377,https://teater.aiscr.cz/id/3377
gravettien,Gravettian,amcr,HES-000311,https://api.aiscr.cz/id/HES-000311
gravimetrie,gravimetry,teater,134,https://teater.aiscr.cz/id/134
gregoriánský kalendář,Gregorian calendar,teater,647,https://teater.aiscr.cz/id/647
grenada,Grenada,amcr,HES-001265,https://api.aiscr.cz/id/HES-001265
grešle,groschen,teater,2286,https://teater.aiscr.cz/id/2286
groma,groma,teater,2096,https://teater.aiscr.cz/id/2096
groteska (malba),grotesque (painting),teater,1868,https://teater.aiscr.cz/id/1868
grotta,grotto,teater,1683,https://teater.aiscr.cz/id/1683
gruzie,Georgia,amcr,HES-001391,https://api.aiscr.cz/id/HES-001391
gruzínské písmo,Georgian script,teater,3573,https://teater.aiscr.cz/id/3573
grónsko,Greenland,amcr,HES-001266,https://api.aiscr.cz/id/HES-001266
guadeloupe,Guadeloupe,amcr,HES-001203,https://api.aiscr.cz/id/HES-001203
guam,Guam,amcr,HES-001217,https://api.aiscr.cz/id/HES-001217
guatemala,Guatemala,amcr,HES-001218,https://api.aiscr.cz/id/HES-001218
guernsey,Guernsey,amcr,HES-001301,https://api.aiscr.cz/id/HES-001301
guinea,Guinea,amcr,HES-001219,https://api.aiscr.cz/id/HES-001219
guinea-bissau,Guinea-Bissau,amcr,HES-001302,https://api.aiscr.cz/id/HES-001302
guttae,guttae,teater,1798,https://teater.aiscr.cz/id/1798
guyana,Guyana,amcr,HES-001401,https://api.aiscr.cz/id/HES-001401
gymnasion,gymnasium,teater,1514,https://teater.aiscr.cz/id/1514
gávská kultura,Gáva culture,teater,1181,https://teater.aiscr.cz/id/1181
gétové,Getae,teater,2629,https://teater.aiscr.cz/id/2629
gótové,Goths,teater,2604,https://teater.aiscr.cz/id/2604
gótština,Gothic language,teater,2619,https://teater.aiscr.cz/id/2619
habsburkové,House of Habsburg,teater,3079,https://teater.aiscr.cz/id/3079
habáni,Habans,teater,3812,https://teater.aiscr.cz/id/3812
habánská fajáns,Haban faience,teater,2453,https://teater.aiscr.cz/id/2453
hadriánův val,Hadrian's Wall,teater,2794,https://teater.aiscr.cz/id/2794
had–lta,HaD–LtA,amcr,HES-001486,https://api.aiscr.cz/id/HES-001486
haeduové,Haedui,teater,3936,https://teater.aiscr.cz/id/3936
hagiografie,hagiography,teater,2226,https://teater.aiscr.cz/id/2226
haiti,Haiti,amcr,HES-001214,https://api.aiscr.cz/id/HES-001214
halič,Galicia,teater,2972,https://teater.aiscr.cz/id/2972
haličsko-volyňské knížectví,Kingdom of Galicia–Volhynia,teater,2973,https://teater.aiscr.cz/id/2973
haltýř,spring house,amcr,HES-000478,https://api.aiscr.cz/id/HES-000478
halštatská kultura,Hallstatt culture,teater,1209,https://teater.aiscr.cz/id/1209
halštatská mohylová kultura,Hallstatt Tumulus Culture,amcr,HES-000332,https://api.aiscr.cz/id/HES-000332
hamr,hammer mill,amcr,HES-000545,https://api.aiscr.cz/id/HES-000545
happening (umění),happening (art),teater,463,https://teater.aiscr.cz/id/463
harfa,harp,teater,1832,https://teater.aiscr.cz/id/1832
harpuna,harpoon,teater,1988,https://teater.aiscr.cz/id/1988
hatvanská kultura,Hatvan Culture,amcr,HES-000320,https://api.aiscr.cz/id/HES-000320
havárie/stavební narušení,accident/building disruption,amcr,HES-000597,https://api.aiscr.cz/id/HES-000597
hať,corduroy road,amcr,HES-000521,https://api.aiscr.cz/id/HES-000521
heardův ostrov a macdonaldovy ostrovy,Heard Island and McDonald Islands,amcr,HES-001275,https://api.aiscr.cz/id/HES-001275
hebrejské písmo,Hebrew script,teater,3574,https://teater.aiscr.cz/id/3574
hedvábná cesta (obchodní stezka),Silk Road,teater,2974,https://teater.aiscr.cz/id/2974
hedvábí,silk,teater,2446,https://teater.aiscr.cz/id/2446
hekatompedon,hekatompedon temple,teater,1309,https://teater.aiscr.cz/id/1309
helladská kultura,Helladic period,teater,1152,https://teater.aiscr.cz/id/1152
hellas,Hellas,teater,4021,https://teater.aiscr.cz/id/4021
helvetiové,Helvetii,teater,3937,https://teater.aiscr.cz/id/3937
helvetská konfese,Helvetic Confession,teater,737,https://teater.aiscr.cz/id/737
helénismus,Hellenism,teater,2727,https://teater.aiscr.cz/id/2727
helénistické náboženství,Hellenistic religion,teater,2729,https://teater.aiscr.cz/id/2729
helénská mytologie,Hellenistic mythology,teater,2728,https://teater.aiscr.cz/id/2728
helénští bohové,Hellenistic gods,teater,2730,https://teater.aiscr.cz/id/2730
heraldika,heraldry,teater,642,https://teater.aiscr.cz/id/642
hercynský les,Hercynian Forest,teater,4022,https://teater.aiscr.cz/id/4022
heretik,heretic,teater,704,https://teater.aiscr.cz/id/704
hereze,heresy,teater,695,https://teater.aiscr.cz/id/695
hermovka,herma,teater,1890,https://teater.aiscr.cz/id/1890
hermunduři,Hermunduri,teater,3918,https://teater.aiscr.cz/id/3918
herní předmět,game equipment,amcr,HES-000681,https://api.aiscr.cz/id/HES-000681
herulové,Heruli,teater,2607,https://teater.aiscr.cz/id/2607
hesensko,Hesse,teater,2975,https://teater.aiscr.cz/id/2975
heterodoxie,heterodoxy,teater,3794,https://teater.aiscr.cz/id/3794
heuristika,heuristic,teater,90,https://teater.aiscr.cz/id/90
hieratické písmo,hieratic script,teater,3575,https://teater.aiscr.cz/id/3575
hieroglyfy,hieroglyphics,teater,3576,https://teater.aiscr.cz/id/3576
himation,himation,teater,2169,https://teater.aiscr.cz/id/2169
hinduismus,Hinduism,teater,823,https://teater.aiscr.cz/id/823
hipodrom,hippodrome,teater,1516,https://teater.aiscr.cz/id/1516
hispánie,Hispania,teater,2976,https://teater.aiscr.cz/id/2976
historická antropologie,historical antropology,teater,396,https://teater.aiscr.cz/id/396
historická archeologie,historical archaeology,teater,46,https://teater.aiscr.cz/id/46
historická budova/komplex,historical building/complex,amcr,HES-001457,https://api.aiscr.cz/id/HES-001457
historická chronologie,historical chronology,teater,646,https://teater.aiscr.cz/id/646
historická demografie,historical demography,teater,426,https://teater.aiscr.cz/id/426
historická geografie,historical geography,teater,888,https://teater.aiscr.cz/id/888
historická geologie,historical geology,teater,964,https://teater.aiscr.cz/id/964
historická hydrologie,historical hydrology,teater,1026,https://teater.aiscr.cz/id/1026
historická kartografie,historical cartography,teater,1029,https://teater.aiscr.cz/id/1029
historická keramika,historical pottery,teater,2459,https://teater.aiscr.cz/id/2459
historická lingvistika,historical linguistics,teater,617,https://teater.aiscr.cz/id/617
historické muzeum,historical museum,teater,245,https://teater.aiscr.cz/id/245
historické oblasti a státní útvary,historical regions and state departments,teater,2900,https://teater.aiscr.cz/id/2900
historický místopis,historical topography,teater,889,https://teater.aiscr.cz/id/889
historický pramen,historical source,teater,598,https://teater.aiscr.cz/id/598
historiografická periodizace,historiographic periodization,teater,1257,https://teater.aiscr.cz/id/1257
historiografie,historiography,teater,583,https://teater.aiscr.cz/id/583
historiografie umění,art historiography,teater,483,https://teater.aiscr.cz/id/483
historismus,historicism,teater,3741,https://teater.aiscr.cz/id/3741
hladítko,smoother,amcr,HES-000825,https://api.aiscr.cz/id/HES-000825
hlaholice,Glagolitic alphabet,teater,3577,https://teater.aiscr.cz/id/3577
hlaholské nápisy,Glagolitic inscriptions,teater,2825,https://teater.aiscr.cz/id/2825
hlasatelská berla,caduceus,teater,2369,https://teater.aiscr.cz/id/2369
hlavní město,capital city,teater,1388,https://teater.aiscr.cz/id/1388
hliník,clay pit,amcr,HES-000512,https://api.aiscr.cz/id/HES-000512
hliněná destička,clay tablet,teater,2532,https://teater.aiscr.cz/id/2532
hlubinný důl,underground mine,teater,1461,https://teater.aiscr.cz/id/1461
hlubokomořská rovina,abyssal plain,teater,4131,https://teater.aiscr.cz/id/4131
hlučínsko,Hlučín Region,teater,3037,https://teater.aiscr.cz/id/3037
hlušina,gangue,teater,1938,https://teater.aiscr.cz/id/1938
hlášení,brief report,amcr,HES-001080,https://api.aiscr.cz/id/HES-001080
hlína,clay,amcr,HES-000925,https://api.aiscr.cz/id/HES-000925
hmotnostní spektrometrie,mass spectrometry,teater,180,https://teater.aiscr.cz/id/180
hmotnostní spektrometrie s indukčně vázaným plazmatem,inductively coupled plasma mass spectrometry,teater,181,https://teater.aiscr.cz/id/181
hmotnostní spektrometrie s indukčně vázaným plazmatem a laserovou ablací,inductively coupled plasma mass spectrometry with laser ablation,teater,182,https://teater.aiscr.cz/id/182
hmotný pramen,Material Source,teater,3724,https://teater.aiscr.cz/id/3724
hodina,hour,teater,2099,https://teater.aiscr.cz/id/2099
hodinky (modlitební knihy),books of hours,teater,2227,https://teater.aiscr.cz/id/2227
hodiny,clock,teater,2098,https://teater.aiscr.cz/id/2098
hodinář,watchmaker,teater,3259,https://teater.aiscr.cz/id/3259
hodinářství,watch making,teater,3258,https://teater.aiscr.cz/id/3258
hodometr,hodometron,teater,2100,https://teater.aiscr.cz/id/2100
holocén,holocene,teater,1063,https://teater.aiscr.cz/id/1063
holštýnsko,Holstein,teater,2977,https://teater.aiscr.cz/id/2977
homeopatická magie,Homeopathic magic,teater,3845,https://teater.aiscr.cz/id/3845
homo antecessor,Homo antecessor,teater,3883,https://teater.aiscr.cz/id/3883
homo erectus,Homo erectus,teater,367,https://teater.aiscr.cz/id/367
homo ergaster,Homo ergaster,teater,3884,https://teater.aiscr.cz/id/3884
homo habilis,Homo habilis,teater,368,https://teater.aiscr.cz/id/368
homo heidelbergensis,Homo heidelbergensis,teater,369,https://teater.aiscr.cz/id/369
homo naledi,Homo naledi,teater,370,https://teater.aiscr.cz/id/370
homo neanderthalensis,Homo neanderthalensis,teater,366,https://teater.aiscr.cz/id/366
homo sapiens,Homo sapiens,teater,371,https://teater.aiscr.cz/id/371
honduras,Honduras,amcr,HES-001276,https://api.aiscr.cz/id/HES-001276
hongkong,Hong Kong,amcr,HES-001277,https://api.aiscr.cz/id/HES-001277
horizont (archeologie),horizon (archaeology),teater,69,https://teater.aiscr.cz/id/69
horizont osídlení,settlement layer,teater,1751,https://teater.aiscr.cz/id/1751
horizontální stratigrafie,horizontal stratigraphy,teater,193,https://teater.aiscr.cz/id/193
hornická geologie,mining geology,teater,965,https://teater.aiscr.cz/id/965
hornické muzeum,mining museum,teater,246,https://teater.aiscr.cz/id/246
hornické sídliště,mineworkers´ settlement,teater,1448,https://teater.aiscr.cz/id/1448
hornictví,mining,teater,3448,https://teater.aiscr.cz/id/3448
hornina,rock,teater,992,https://teater.aiscr.cz/id/992
horninotvorný minerál,rock-forming mineral,teater,973,https://teater.aiscr.cz/id/973
hornodunajská popelnicová pole,Upper Danube Urnfield culture,teater,1177,https://teater.aiscr.cz/id/1177
horní falc,Upper Palatinate,teater,2978,https://teater.aiscr.cz/id/2978
horní město,mining town,teater,1389,https://teater.aiscr.cz/id/1389
horní právo,mining law,teater,3610,https://teater.aiscr.cz/id/3610
horní rakousko,Upper Austria,teater,2979,https://teater.aiscr.cz/id/2979
horní regál,Bergregal,teater,3611,https://teater.aiscr.cz/id/3611
horní slezsko,Upper Silesia,teater,3038,https://teater.aiscr.cz/id/3038
horník,miner,teater,3484,https://teater.aiscr.cz/id/3484
horská silnice,mountain road,teater,1417,https://teater.aiscr.cz/id/1417
horákovská kultura,Horákov Culture,amcr,HES-000307,https://api.aiscr.cz/id/HES-000307
hospodářská budova,farm building,teater,1517,https://teater.aiscr.cz/id/1517
hospodářská písemnost,business document,teater,600,https://teater.aiscr.cz/id/600
hospodářské dějiny,economic history,teater,590,https://teater.aiscr.cz/id/590
hospodářské poměry,economic conditions,teater,14,https://teater.aiscr.cz/id/14
hostinec,inn,teater,1518,https://teater.aiscr.cz/id/1518
hovorová baskičtina,colloquial Basque,teater,2586,https://teater.aiscr.cz/id/2586
hovorová bretonština,colloquial Breton,teater,2666,https://teater.aiscr.cz/id/2666
hovorová irština,colloquial Irish,teater,2669,https://teater.aiscr.cz/id/2669
hovorová mongolština,colloquial Mongolian,teater,2703,https://teater.aiscr.cz/id/2703
hovorová velština,colloquial Welsh,teater,2675,https://teater.aiscr.cz/id/2675
hrací kamen,gaming piece,teater,1965,https://teater.aiscr.cz/id/1965
hrací kostka,dice,amcr,HES-000696,https://api.aiscr.cz/id/HES-000696
hrací kámen,game piece,amcr,HES-000684,https://api.aiscr.cz/id/HES-000684
hrad,castle,amcr,HES-000015,https://api.aiscr.cz/id/HES-000015
hradba,defensive wall,amcr,HES-000530,https://api.aiscr.cz/id/HES-000530
hradiště,hillfort,amcr,HES-000072,https://api.aiscr.cz/id/HES-000072
hradní architektura,castle architecture,teater,1430,https://teater.aiscr.cz/id/1430
hraniční obory,cross-bordering disciplines,teater,289,https://teater.aiscr.cz/id/289
hrazené sídliště,enclosed settlement,amcr,HES-000064,https://api.aiscr.cz/id/HES-000064
hrazený areál,enclosure,amcr,HES-000071,https://api.aiscr.cz/id/HES-000071
hračka,toy,teater,1966,https://teater.aiscr.cz/id/1966
hrnec,pot,amcr,HES-000768,https://api.aiscr.cz/id/HES-000768
hrnčíř,potter,teater,3261,https://teater.aiscr.cz/id/3261
hrnčířská pec,pottery kiln,teater,1692,https://teater.aiscr.cz/id/1692
hrnčířská značka,factory mark,teater,3262,https://teater.aiscr.cz/id/3262
hrnčířský kruh,potters wheel,teater,2101,https://teater.aiscr.cz/id/2101
hrnčířský výrobek,pottery product,teater,3263,https://teater.aiscr.cz/id/3263
hrnčířství,potteries,teater,3260,https://teater.aiscr.cz/id/3260
hrob,grave,amcr,HES-000427,https://api.aiscr.cz/id/HES-000427
hrob komorový,chamber grave,amcr,HES-000428,https://api.aiscr.cz/id/HES-000428
hrob skříňkový,cist grave,amcr,HES-000429,https://api.aiscr.cz/id/HES-000429
hrobka,tomb,amcr,HES-000430,https://api.aiscr.cz/id/HES-000430
hrot,point,teater,1958,https://teater.aiscr.cz/id/1958
hrot kopí,spearhead,teater,1989,https://teater.aiscr.cz/id/1989
hrot oštěpu,spearhead,teater,1990,https://teater.aiscr.cz/id/1990
hrot šipky,crossbow bolt,teater,1991,https://teater.aiscr.cz/id/1991
hrot šípu,arrowhead,teater,1992,https://teater.aiscr.cz/id/1992
hrot/hák,spike/hook,amcr,HES-000783,https://api.aiscr.cz/id/HES-000783
hrádek,fortified manor,teater,1428,https://teater.aiscr.cz/id/1428
hráz,embankment/dam,amcr,HES-000493,https://api.aiscr.cz/id/HES-000493
hrázděná stavba,half-timbered building,teater,2556,https://teater.aiscr.cz/id/2556
hudební folklor,musical folklore,teater,4251,https://teater.aiscr.cz/id/4251
hudební nástroj,musical instrument,amcr,HES-000749,https://api.aiscr.cz/id/HES-000749
humanistická geografie,human geography,teater,4163,https://teater.aiscr.cz/id/4163
humanistické písmo,humanistic script,teater,3582,https://teater.aiscr.cz/id/3582
hunové,Huns,teater,2630,https://teater.aiscr.cz/id/2630
hunská říše,Hunnic Empire,teater,2980,https://teater.aiscr.cz/id/2980
husitská liturgie,Hussite liturgy,teater,759,https://teater.aiscr.cz/id/759
husitství,Hussitism,teater,705,https://teater.aiscr.cz/id/705
hutnická pec,iron-smelting furnace,teater,1693,https://teater.aiscr.cz/id/1693
hutník,smelterman,teater,3330,https://teater.aiscr.cz/id/3330
hyberni,Irish Franciscans,teater,3147,https://teater.aiscr.cz/id/3147
hydria,hydria,teater,2041,https://teater.aiscr.cz/id/2041
hydrogeografie,hydrogeography,teater,884,https://teater.aiscr.cz/id/884
hydrogeologie,hydrogeology,teater,966,https://teater.aiscr.cz/id/966
hydrologická mapa,hydrological map,teater,1011,https://teater.aiscr.cz/id/1011
hydrologický model,hydrological model,teater,1012,https://teater.aiscr.cz/id/1012
hydrologie,hydrology,teater,1009,https://teater.aiscr.cz/id/1009
hydrometrie,hydrometry,teater,1027,https://teater.aiscr.cz/id/1027
hydrosféra,hydrosphere,teater,1014,https://teater.aiscr.cz/id/1014
hádanka,riddle,teater,4281,https://teater.aiscr.cz/id/4281
hák,hook,teater,1957,https://teater.aiscr.cz/id/1957
héróon,heroon,teater,1310,https://teater.aiscr.cz/id/1310
hřbitov,cemetery,teater,1408,https://teater.aiscr.cz/id/1408
hřbitovní kaple,cemetery chapel,teater,1330,https://teater.aiscr.cz/id/1330
hřeb,spike,teater,2342,https://teater.aiscr.cz/id/2342
hřeb/hřebík/nýt,nail/rivet,amcr,HES-000679,https://api.aiscr.cz/id/HES-000679
hřeben,comb,amcr,HES-000826,https://api.aiscr.cz/id/HES-000826
hřebík,nail,teater,2341,https://teater.aiscr.cz/id/2341
hřivna,ingot,amcr,HES-000829,https://api.aiscr.cz/id/HES-000829
ianus quadrifrons,Arch of Janus,teater,1521,https://teater.aiscr.cz/id/1521
iberorománština,Ibero-Romance,teater,2633,https://teater.aiscr.cz/id/2633
iberové,Iberians,teater,2632,https://teater.aiscr.cz/id/2632
iberská kultura,Iberian civilization,teater,2634,https://teater.aiscr.cz/id/2634
iberština,Iberian,teater,2635,https://teater.aiscr.cz/id/2635
identita,identity,teater,4208,https://teater.aiscr.cz/id/4208
idól,idol,teater,1819,https://teater.aiscr.cz/id/1819
ignaciánská spiritualita,Ignatian spirituality,teater,811,https://teater.aiscr.cz/id/811
ikona,icon,teater,1855,https://teater.aiscr.cz/id/1855
ikonografie,iconography,teater,454,https://teater.aiscr.cz/id/454
ikonoklasmus,iconoclasm,teater,707,https://teater.aiscr.cz/id/707
ikonologie,iconology,teater,455,https://teater.aiscr.cz/id/455
iliacae tabulae,Tabula Iliaca,teater,1882,https://teater.aiscr.cz/id/1882
iluminace prvotisků,illumination of incunabula,teater,3285,https://teater.aiscr.cz/id/3285
iluminace rukopisu,illumination of manuscript,teater,658,https://teater.aiscr.cz/id/658
iluminace rukopisů,illumination of manuscripts,teater,3286,https://teater.aiscr.cz/id/3286
iluminátor,illuminator,teater,3287,https://teater.aiscr.cz/id/3287
iluminátorka,woman illuminator,teater,3288,https://teater.aiscr.cz/id/3288
ilustrace,illustration,teater,3284,https://teater.aiscr.cz/id/3284
ilustrátor,illustrator,teater,3289,https://teater.aiscr.cz/id/3289
ilustrátorka,woman illustrator,teater,3290,https://teater.aiscr.cz/id/3290
ilyrové,Illyrians,teater,2637,https://teater.aiscr.cz/id/2637
