source_lemma,target_translation,source,source_id,uri
obrazový pramen,Visual Source,teater,3725,https://teater.aiscr.cz/id/3725
obrazový pramen symbolický,Symbolic Visual Source,teater,3726,https://teater.aiscr.cz/id/3726
obrazový pramen vlastní,Primary Visual Source,teater,3727,https://teater.aiscr.cz/id/3727
obročí,benefice,teater,783,https://teater.aiscr.cz/id/783
obrázkové písmo,ideograms,teater,3588,https://teater.aiscr.cz/id/3588
obsah (estetika),content (aesthetics),teater,475,https://teater.aiscr.cz/id/475
obsidián,obsidian,teater,2509,https://teater.aiscr.cz/id/2509
obuv,footwear,amcr,HES-000735,https://api.aiscr.cz/id/HES-000735
obuvnictví,shoemaking trade,teater,3345,https://teater.aiscr.cz/id/3345
obuvník,shoemaker,teater,3346,https://teater.aiscr.cz/id/3346
obval,spoil bank,amcr,HES-000561,https://api.aiscr.cz/id/HES-000561
obvodový plášť,curtain wall,teater,1630,https://teater.aiscr.cz/id/1630
obytné budovy,residential building,teater,1538,https://teater.aiscr.cz/id/1538
obyvatelstvo,population,teater,424,https://teater.aiscr.cz/id/424
obyčeje konce masopustu,customs of the end of carnival,teater,4336,https://teater.aiscr.cz/id/4336
obyčejová tradice,cultural traditions,teater,4257,https://teater.aiscr.cz/id/4257
obývání,residential activity,amcr,HES-000001,https://api.aiscr.cz/id/HES-000001
občanské právo,civil law,teater,3615,https://teater.aiscr.cz/id/3615
obětiště,sacrifice site,teater,1348,https://teater.aiscr.cz/id/1348
oběť,sacrifice,teater,830,https://teater.aiscr.cz/id/830
obřad,ceremony,teater,4256,https://teater.aiscr.cz/id/4256
obřadní folklor,ceremonial folklore,teater,4255,https://teater.aiscr.cz/id/4255
obřízka,circumcision,teater,3887,https://teater.aiscr.cz/id/3887
oceánografie,oceanography,teater,979,https://teater.aiscr.cz/id/979
ochrana památek,protection of monuments,teater,272,https://teater.aiscr.cz/id/272
ocílka,firesteel,teater,2125,https://teater.aiscr.cz/id/2125
odborný záměr,expert project,amcr,HES-000594,https://api.aiscr.cz/id/HES-000594
odchylka desítky metrů,deviation in tens of meters,amcr,HES-000862,https://api.aiscr.cz/id/HES-000862
odchylka jednotky metrů,deviation in meters,amcr,HES-000861,https://api.aiscr.cz/id/HES-000861
odchylka stovky metrů,deviation in hundreds of meters,amcr,HES-000863,https://api.aiscr.cz/id/HES-000863
odhad dožitého věku podle kostry,age estimation of skeletal remains,teater,3878,https://teater.aiscr.cz/id/3878
odhad výšky postavy,stature estimation,teater,3879,https://teater.aiscr.cz/id/3879
odlesňování,deforestration,teater,4121,https://teater.aiscr.cz/id/4121
odlitek,casting,teater,200,https://teater.aiscr.cz/id/200
odlévací forma,casting mould,teater,2126,https://teater.aiscr.cz/id/2126
odlévání kovů,casting,teater,3334,https://teater.aiscr.cz/id/3334
odpad,waste,amcr,HES-000778,https://api.aiscr.cz/id/HES-000778
odpad stavební,construction waste,amcr,HES-000779,https://api.aiscr.cz/id/HES-000779
odpad výrobní,production waste,amcr,HES-000780,https://api.aiscr.cz/id/HES-000780
odpadní jáma,rubbish pit,teater,1780,https://teater.aiscr.cz/id/1780
odpadní vrstva,refuse layer,teater,1755,https://teater.aiscr.cz/id/1755
odpadní vrstva/souvrství,waste layer/sequence,amcr,HES-000458,https://api.aiscr.cz/id/HES-000458
odval,spoil tip,teater,1741,https://teater.aiscr.cz/id/1741
odvedenec,recruit,teater,3527,https://teater.aiscr.cz/id/3527
odúmrtní právo,escheat,teater,3601,https://teater.aiscr.cz/id/3601
oděv,clothing,teater,2167,https://teater.aiscr.cz/id/2167
ohniště,fireplace,amcr,HES-000423,https://api.aiscr.cz/id/HES-000423
ohradní zeď/plot,wall/fence,amcr,HES-000532,https://api.aiscr.cz/id/HES-000532
ohrazení kruhové malé,circular enclosure (small),amcr,HES-001035,https://api.aiscr.cz/id/HES-001035
ohrazení kruhové střední,circular enclosure (medium),amcr,HES-001036,https://api.aiscr.cz/id/HES-001036
ohrazení kruhové velké,circular enclosure (large),amcr,HES-001037,https://api.aiscr.cz/id/HES-001037
ohrazení polygonální malé,polygonal enclosure (small),amcr,HES-001041,https://api.aiscr.cz/id/HES-001041
ohrazení polygonální střední,polygonal enclosure (medium),amcr,HES-001042,https://api.aiscr.cz/id/HES-001042
ohrazení polygonální velké,polygonal enclosure (large),amcr,HES-001043,https://api.aiscr.cz/id/HES-001043
ohrazení pravoúhlé malé,rectangular enclosure (small),amcr,HES-001038,https://api.aiscr.cz/id/HES-001038
ohrazení pravoúhlé střední,rectangular enclosure (medium),amcr,HES-001039,https://api.aiscr.cz/id/HES-001039
ohrazení pravoúhlé velké,rectangular enclosure (large),amcr,HES-001040,https://api.aiscr.cz/id/HES-001040
ohrazení/fortifikace,enclosure/fortification,amcr,HES-000527,https://api.aiscr.cz/id/HES-000527
ohrozimský typ,Ohrozim Type,amcr,HES-000369,https://api.aiscr.cz/id/HES-000369
oinochoé,oenochoe,teater,2061,https://teater.aiscr.cz/id/2061
ojedinělý nález,single find,amcr,HES-000062,https://api.aiscr.cz/id/HES-000062
ojratština,Oirat,teater,2704,https://teater.aiscr.cz/id/2704
